Year,Crop,Yield_kg_per_ha
1983,Oranges                                                                                                                         ,10864.0
1984,Oranges                                                                                                                         ,11713.0
1985,Oranges                                                                                                                         ,11739.1
1986,Oranges                                                                                                                         ,12819.0
1987,Oranges                                                                                                                         ,13392.9
1988,Oranges                                                                                                                         ,11666.7
1989,Oranges                                                                                                                         ,14656.5
1990,Oranges                                                                                                                         ,14565.2
1991,Oranges                                                                                                                         ,14538.5
1992,Oranges                                                                                                                         ,11875.0
1993,Oranges                                                                                                                         ,14921.3
1994,Oranges                                                                                                                         ,9880.4
1995,Oranges                                                                                                                         ,7654.5
1996,Oranges                                                                                                                         ,9415.6
1997,Oranges                                                                                                                         ,11196.5
1998,Oranges                                                                                                                         ,10112.5
1999,Oranges                                                                                                                         ,10764.6
2000,Oranges                                                                                                                         ,9758.1
2001,Oranges                                                                                                                         ,10319.4
2002,Oranges                                                                                                                         ,8824.2
2003,Oranges                                                                                                                         ,6652.5
2004,Oranges                                                                                                                         ,8635.1
2005,Oranges                                                                                                                         ,8767.2
2006,Oranges                                                                                                                         ,7792.8
2007,Oranges                                                                                                                         ,9132.9
2008,Oranges                                                                                                                         ,9377.4
2009,Oranges                                                                                                                         ,9233.2
2010,Oranges                                                                                                                         ,9451.0
2011,Oranges                                                                                                                         ,8382.2
2012,Oranges                                                                                                                         ,7604.9
2013,Oranges                                                                                                                         ,10897.8
2014,Oranges                                                                                                                         ,11600.0
2015,Oranges                                                                                                                         ,15378.2
2016,Oranges                                                                                                                         ,14213.1
2017,Oranges                                                                                                                         ,16801.0
2018,Oranges                                                                                                                         ,17654.1
2019,Oranges                                                                                                                         ,16801.0
2020,Oranges                                                                                                                         ,17654.1
2021,Oranges                                                                                                                         ,17465.2
2022,Oranges                                                                                                                         ,17083.3
2023,Oranges                                                                                                                         ,17000.0
1961,"Other beans, green                                                                                                              ",2312.5
1962,"Other beans, green                                                                                                              ",2296.3
1963,"Other beans, green                                                                                                              ",2289.2
1964,"Other beans, green                                                                                                              ",2352.9
1965,"Other beans, green                                                                                                              ",2386.4
1966,"Other beans, green                                                                                                              ",2356.3
1967,"Other beans, green                                                                                                              ",2333.3
1968,"Other beans, green                                                                                                              ",2340.4
1969,"Other beans, green                                                                                                              ",2395.8
1970,"Other beans, green                                                                                                              ",2400.0
1971,"Other beans, green                                                                                                              ",2381.0
1972,"Other beans, green                                                                                                              ",2452.8
1973,"Other beans, green                                                                                                              ",2523.4
1974,"Other beans, green                                                                                                              ",2518.2
1975,"Other beans, green                                                                                                              ",2500.0
1976,"Other beans, green                                                                                                              ",2482.5
1977,"Other beans, green                                                                                                              ",2478.3
1978,"Other beans, green                                                                                                              ",2500.0
1979,"Other beans, green                                                                                                              ",2520.7
1980,"Other beans, green                                                                                                              ",2560.0
1981,"Other beans, green                                                                                                              ",2640.0
1982,"Other beans, green                                                                                                              ",2692.3
1983,"Other beans, green                                                                                                              ",2689.4
1984,"Other beans, green                                                                                                              ",2706.8
1985,"Other beans, green                                                                                                              ",2723.9
1986,"Other beans, green                                                                                                              ",2740.7
1987,"Other beans, green                                                                                                              ",2757.4
1988,"Other beans, green                                                                                                              ",2789.9
1989,"Other beans, green                                                                                                              ",2746.5
1990,"Other beans, green                                                                                                              ",2956.1
1991,"Other beans, green                                                                                                              ",2615.4
1992,"Other beans, green                                                                                                              ",2643.9
1993,"Other beans, green                                                                                                              ",2673.6
1994,"Other beans, green                                                                                                              ",2675.9
1995,"Other beans, green                                                                                                              ",2685.8
1996,"Other beans, green                                                                                                              ",2702.7
1997,"Other beans, green                                                                                                              ",2713.3
1998,"Other beans, green                                                                                                              ",2733.3
1999,"Other beans, green                                                                                                              ",2738.2
2000,"Other beans, green                                                                                                              ",2748.0
2001,"Other beans, green                                                                                                              ",2757.5
2002,"Other beans, green                                                                                                              ",2766.7
2003,"Other beans, green                                                                                                              ",2775.9
2004,"Other beans, green                                                                                                              ",2776.5
2005,"Other beans, green                                                                                                              ",2780.0
2006,"Other beans, green                                                                                                              ",2783.4
2007,"Other beans, green                                                                                                              ",2786.6
2008,"Other beans, green                                                                                                              ",2789.7
2009,"Other beans, green                                                                                                              ",2792.7
2010,"Other beans, green                                                                                                              ",2795.6
2011,"Other beans, green                                                                                                              ",2798.3
2012,"Other beans, green                                                                                                              ",2818.2
2013,"Other beans, green                                                                                                              ",2818.2
2014,"Other beans, green                                                                                                              ",2818.8
2015,"Other beans, green                                                                                                              ",2826.1
2016,"Other beans, green                                                                                                              ",2821.1
2017,"Other beans, green                                                                                                              ",2826.6
2018,"Other beans, green                                                                                                              ",2831.9
2019,"Other beans, green                                                                                                              ",2835.5
2020,"Other beans, green                                                                                                              ",2841.2
2021,"Other beans, green                                                                                                              ",2836.3
2022,"Other beans, green                                                                                                              ",2837.7
2023,"Other beans, green                                                                                                              ",2838.4
1985,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,3636.4
1986,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,3636.4
1987,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,3636.4
1988,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,3636.4
1989,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,3636.4
1990,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,3803.6
1991,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,3850.3
1992,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,4050.1
1993,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,4243.0
1994,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,4458.5
1995,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,4597.1
1996,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,4731.5
1997,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,5077.2
1998,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,4995.5
1999,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,5326.1
2000,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,5525.3
2001,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,5559.6
2002,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,5748.6
2003,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,5929.5
2004,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6009.3
2005,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6138.4
2006,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6257.9
2007,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6943.1
2008,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6478.2
2009,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6573.4
2010,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6686.6
2011,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6800.0
2012,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6816.2
2013,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,7008.7
2014,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,7098.1
2015,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,7192.4
2016,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6863.6
2017,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,7057.0
2018,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,7175.4
2019,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6844.4
2020,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6857.1
2021,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6957.5
2022,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6886.2
2023,Other berries and fruits of the genus vaccinium n.e.c.                                                                          ,6900.1
1961,"Other citrus fruit, n.e.c.                                                                                                      ",12500.0
1962,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1963,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1964,"Other citrus fruit, n.e.c.                                                                                                      ",10400.0
1965,"Other citrus fruit, n.e.c.                                                                                                      ",10400.0
1966,"Other citrus fruit, n.e.c.                                                                                                      ",10400.0
1967,"Other citrus fruit, n.e.c.                                                                                                      ",10800.0
1968,"Other citrus fruit, n.e.c.                                                                                                      ",10600.0
1969,"Other citrus fruit, n.e.c.                                                                                                      ",9000.0
1970,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1971,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1972,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1973,"Other citrus fruit, n.e.c.                                                                                                      ",8571.4
1974,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1975,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1976,"Other citrus fruit, n.e.c.                                                                                                      ",9333.3
1977,"Other citrus fruit, n.e.c.                                                                                                      ",8333.3
1978,"Other citrus fruit, n.e.c.                                                                                                      ",7333.3
1979,"Other citrus fruit, n.e.c.                                                                                                      ",9333.3
1980,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1981,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1982,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1983,"Other citrus fruit, n.e.c.                                                                                                      ",9375.0
1984,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1985,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1986,"Other citrus fruit, n.e.c.                                                                                                      ",11428.6
1987,"Other citrus fruit, n.e.c.                                                                                                      ",11333.3
1988,"Other citrus fruit, n.e.c.                                                                                                      ",10526.3
1989,"Other citrus fruit, n.e.c.                                                                                                      ",12500.0
1990,"Other citrus fruit, n.e.c.                                                                                                      ",12686.6
1991,"Other citrus fruit, n.e.c.                                                                                                      ",12210.5
1992,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
1993,"Other citrus fruit, n.e.c.                                                                                                      ",12676.1
1994,"Other citrus fruit, n.e.c.                                                                                                      ",12666.7
1995,"Other citrus fruit, n.e.c.                                                                                                      ",13102.0
1996,"Other citrus fruit, n.e.c.                                                                                                      ",13516.0
1997,"Other citrus fruit, n.e.c.                                                                                                      ",13872.5
1998,"Other citrus fruit, n.e.c.                                                                                                      ",14210.5
1999,"Other citrus fruit, n.e.c.                                                                                                      ",17866.7
2000,"Other citrus fruit, n.e.c.                                                                                                      ",15000.0
2001,"Other citrus fruit, n.e.c.                                                                                                      ",13538.9
2002,"Other citrus fruit, n.e.c.                                                                                                      ",13219.4
2003,"Other citrus fruit, n.e.c.                                                                                                      ",12500.0
2004,"Other citrus fruit, n.e.c.                                                                                                      ",12500.0
2005,"Other citrus fruit, n.e.c.                                                                                                      ",12500.0
2006,"Other citrus fruit, n.e.c.                                                                                                      ",12406.5
2007,"Other citrus fruit, n.e.c.                                                                                                      ",12577.4
2008,"Other citrus fruit, n.e.c.                                                                                                      ",12513.8
2009,"Other citrus fruit, n.e.c.                                                                                                      ",12508.9
2010,"Other citrus fruit, n.e.c.                                                                                                      ",12409.5
2011,"Other citrus fruit, n.e.c.                                                                                                      ",12531.9
2012,"Other citrus fruit, n.e.c.                                                                                                      ",12558.4
2013,"Other citrus fruit, n.e.c.                                                                                                      ",12573.5
2014,"Other citrus fruit, n.e.c.                                                                                                      ",13078.9
2015,"Other citrus fruit, n.e.c.                                                                                                      ",13025.0
2016,"Other citrus fruit, n.e.c.                                                                                                      ",11839.5
2017,"Other citrus fruit, n.e.c.                                                                                                      ",10352.9
2018,"Other citrus fruit, n.e.c.                                                                                                      ",10000.0
2019,"Other citrus fruit, n.e.c.                                                                                                      ",9125.0
2020,"Other citrus fruit, n.e.c.                                                                                                      ",6089.6
2021,"Other citrus fruit, n.e.c.                                                                                                      ",6350.6
2022,"Other citrus fruit, n.e.c.                                                                                                      ",7592.2
2023,"Other citrus fruit, n.e.c.                                                                                                      ",7350.5
1961,"Other fruits, n.e.c.                                                                                                            ",6000.0
1962,"Other fruits, n.e.c.                                                                                                            ",6370.4
1963,"Other fruits, n.e.c.                                                                                                            ",5931.0
1964,"Other fruits, n.e.c.                                                                                                            ",6433.3
1965,"Other fruits, n.e.c.                                                                                                            ",6000.0
1966,"Other fruits, n.e.c.                                                                                                            ",6606.1
1967,"Other fruits, n.e.c.                                                                                                            ",6764.7
1968,"Other fruits, n.e.c.                                                                                                            ",6666.7
1969,"Other fruits, n.e.c.                                                                                                            ",7027.8
1970,"Other fruits, n.e.c.                                                                                                            ",6666.7
1971,"Other fruits, n.e.c.                                                                                                            ",6600.0
1972,"Other fruits, n.e.c.                                                                                                            ",6000.0
1973,"Other fruits, n.e.c.                                                                                                            ",6900.0
1974,"Other fruits, n.e.c.                                                                                                            ",6878.0
1975,"Other fruits, n.e.c.                                                                                                            ",7024.4
1976,"Other fruits, n.e.c.                                                                                                            ",6950.0
1977,"Other fruits, n.e.c.                                                                                                            ",7095.2
1978,"Other fruits, n.e.c.                                                                                                            ",7069.8
1979,"Other fruits, n.e.c.                                                                                                            ",7255.8
1980,"Other fruits, n.e.c.                                                                                                            ",7222.2
1981,"Other fruits, n.e.c.                                                                                                            ",7104.2
1982,"Other fruits, n.e.c.                                                                                                            ",7416.7
1983,"Other fruits, n.e.c.                                                                                                            ",7625.0
1984,"Other fruits, n.e.c.                                                                                                            ",7708.3
1985,"Other fruits, n.e.c.                                                                                                            ",7250.0
1986,"Other fruits, n.e.c.                                                                                                            ",7747.1
1987,"Other fruits, n.e.c.                                                                                                            ",7609.8
1988,"Other fruits, n.e.c.                                                                                                            ",7303.0
1989,"Other fruits, n.e.c.                                                                                                            ",7500.0
1990,"Other fruits, n.e.c.                                                                                                            ",7845.2
1991,"Other fruits, n.e.c.                                                                                                            ",7573.2
1992,"Other fruits, n.e.c.                                                                                                            ",8130.8
1993,"Other fruits, n.e.c.                                                                                                            ",8675.4
1994,"Other fruits, n.e.c.                                                                                                            ",8788.9
1995,"Other fruits, n.e.c.                                                                                                            ",8919.5
1996,"Other fruits, n.e.c.                                                                                                            ",9090.9
1997,"Other fruits, n.e.c.                                                                                                            ",8947.4
1998,"Other fruits, n.e.c.                                                                                                            ",10294.9
1999,"Other fruits, n.e.c.                                                                                                            ",8880.0
2000,"Other fruits, n.e.c.                                                                                                            ",8846.2
2001,"Other fruits, n.e.c.                                                                                                            ",9400.0
2002,"Other fruits, n.e.c.                                                                                                            ",10365.1
2003,"Other fruits, n.e.c.                                                                                                            ",13854.2
2004,"Other fruits, n.e.c.                                                                                                            ",6248.2
2005,"Other fruits, n.e.c.                                                                                                            ",6216.1
2006,"Other fruits, n.e.c.                                                                                                            ",6698.3
2007,"Other fruits, n.e.c.                                                                                                            ",6144.9
2008,"Other fruits, n.e.c.                                                                                                            ",6583.6
2009,"Other fruits, n.e.c.                                                                                                            ",6679.6
2010,"Other fruits, n.e.c.                                                                                                            ",6516.7
2011,"Other fruits, n.e.c.                                                                                                            ",5994.5
2012,"Other fruits, n.e.c.                                                                                                            ",5946.5
2013,"Other fruits, n.e.c.                                                                                                            ",6644.1
2014,"Other fruits, n.e.c.                                                                                                            ",6652.3
2015,"Other fruits, n.e.c.                                                                                                            ",7525.1
2016,"Other fruits, n.e.c.                                                                                                            ",8065.8
2017,"Other fruits, n.e.c.                                                                                                            ",9490.1
2018,"Other fruits, n.e.c.                                                                                                            ",9087.4
2019,"Other fruits, n.e.c.                                                                                                            ",9106.7
2020,"Other fruits, n.e.c.                                                                                                            ",8438.6
2021,"Other fruits, n.e.c.                                                                                                            ",8289.7
2022,"Other fruits, n.e.c.                                                                                                            ",8567.1
2023,"Other fruits, n.e.c.                                                                                                            ",8655.7
1961,"Other oil seeds, n.e.c.                                                                                                         ",209.6
1962,"Other oil seeds, n.e.c.                                                                                                         ",210.4
1963,"Other oil seeds, n.e.c.                                                                                                         ",165.6
1964,"Other oil seeds, n.e.c.                                                                                                         ",198.0
1965,"Other oil seeds, n.e.c.                                                                                                         ",174.3
1966,"Other oil seeds, n.e.c.                                                                                                         ",167.0
1967,"Other oil seeds, n.e.c.                                                                                                         ",209.4
1968,"Other oil seeds, n.e.c.                                                                                                         ",201.8
1969,"Other oil seeds, n.e.c.                                                                                                         ",203.3
1970,"Other oil seeds, n.e.c.                                                                                                         ",261.8
1971,"Other oil seeds, n.e.c.                                                                                                         ",234.6
1972,"Other oil seeds, n.e.c.                                                                                                         ",198.2
1973,"Other oil seeds, n.e.c.                                                                                                         ",246.2
1974,"Other oil seeds, n.e.c.                                                                                                         ",212.6
1975,"Other oil seeds, n.e.c.                                                                                                         ",244.6
1976,"Other oil seeds, n.e.c.                                                                                                         ",199.4
1977,"Other oil seeds, n.e.c.                                                                                                         ",243.3
1978,"Other oil seeds, n.e.c.                                                                                                         ",239.3
1979,"Other oil seeds, n.e.c.                                                                                                         ",180.6
1980,"Other oil seeds, n.e.c.                                                                                                         ",244.0
1981,"Other oil seeds, n.e.c.                                                                                                         ",265.4
1982,"Other oil seeds, n.e.c.                                                                                                         ",236.2
1983,"Other oil seeds, n.e.c.                                                                                                         ",294.2
1984,"Other oil seeds, n.e.c.                                                                                                         ",250.8
1985,"Other oil seeds, n.e.c.                                                                                                         ",302.8
1986,"Other oil seeds, n.e.c.                                                                                                         ",223.5
1987,"Other oil seeds, n.e.c.                                                                                                         ",280.6
1988,"Other oil seeds, n.e.c.                                                                                                         ",294.1
1989,"Other oil seeds, n.e.c.                                                                                                         ",300.0
1990,"Other oil seeds, n.e.c.                                                                                                         ",304.8
1991,"Other oil seeds, n.e.c.                                                                                                         ",280.3
1992,"Other oil seeds, n.e.c.                                                                                                         ",276.9
1993,"Other oil seeds, n.e.c.                                                                                                         ",327.2
1994,"Other oil seeds, n.e.c.                                                                                                         ",320.9
1995,"Other oil seeds, n.e.c.                                                                                                         ",316.1
1996,"Other oil seeds, n.e.c.                                                                                                         ",277.9
1997,"Other oil seeds, n.e.c.                                                                                                         ",299.1
1998,"Other oil seeds, n.e.c.                                                                                                         ",304.8
1999,"Other oil seeds, n.e.c.                                                                                                         ",304.3
2000,"Other oil seeds, n.e.c.                                                                                                         ",299.7
2001,"Other oil seeds, n.e.c.                                                                                                         ",302.3
2002,"Other oil seeds, n.e.c.                                                                                                         ",303.9
2003,"Other oil seeds, n.e.c.                                                                                                         ",300.3
2004,"Other oil seeds, n.e.c.                                                                                                         ",300.3
2005,"Other oil seeds, n.e.c.                                                                                                         ",300.0
2006,"Other oil seeds, n.e.c.                                                                                                         ",300.2
2007,"Other oil seeds, n.e.c.                                                                                                         ",305.6
