year, Crop                                                                                                                              , Yield_kg_per_ha, rainfall_mean     , rainfall_std      , rainfall_total, rainfall_deviation
2017, "Beans, dry                                                                                                                      ",           413.7, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, "Beans, dry                                                                                                                      ",           413.8, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, "Beans, dry                                                                                                                      ",           414.2, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, "Beans, dry                                                                                                                      ",           414.9, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, "Beans, dry                                                                                                                      ",           415.8, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
2022, "Beans, dry                                                                                                                      ",           416.4, 4.8417415879183965, 11.416030339245731,       54823.04,  30.39448732668021
2023, "Beans, dry                                                                                                                      ",           417.1, 4.196803808525507 , 10.050079181186689,       48045.01,  99.49900506638716
2009, Cabbages                                                                                                                          ,         22145.7, 3.977649748513946 ,  9.869378184789209,       43495.6 ,   3.167083676268862
2010, Cabbages                                                                                                                          ,         24230.9, 4.824177380125087 , 10.094051337355248,       55535.93,  51.041490618485064
2011, Cabbages                                                                                                                          ,         21542.0, 4.105025191104934 ,  8.813380149209374,       47257.05,  15.314797602501738
2012, Cabbages                                                                                                                          ,         21569.2, 3.762024843641418 ,  8.157801210441407,       43308.43,   3.660174600416956
2013, Cabbages                                                                                                                          ,         22940.9, 4.44156532314107  ,  9.58267274963374 ,       51131.3 ,  39.3843372133426
2014, Cabbages                                                                                                                          ,         22590.1, 4.032843988881167 ,  9.888358522551   ,       46426.1 ,  20.912805767894373
2015, Cabbages                                                                                                                          ,         22240.9, 4.212624218207089 ,  9.924950150928971,       48495.73,  50.438757817929115
2016, Cabbages                                                                                                                          ,         22350.3, 4.10388637943016  ,  9.115403997500591,       47243.94,   0.24271282140375267
2017, Cabbages                                                                                                                          ,         22296.2, 4.472613794301599 , 10.191874789441343,       51488.73,  17.21720552466991
2018, Cabbages                                                                                                                          ,         22649.1, 3.989807157748437 ,  9.067654711355752,       45930.66,  24.063577136900626
2019, Cabbages                                                                                                                          ,         22817.5, 4.676201355107714 , 11.032972340729101,       53832.43,  52.7271299513551
2020, Cabbages                                                                                                                          ,         23122.2, 4.673185605713763 , 10.597684142419439,       51035.86,  56.78357201721454
2021, Cabbages                                                                                                                          ,         23203.9, 4.50342180774749  ,  9.752263667206963,       50222.16, 122.47019279053086
